id
stockProfileName
year
netInterestIncome
totalRevenue
cogsMinusRepairsMaintenance
grossProfit
salariesAndEmpBenefits
cospMinusAdvertisingPlusRent
otherOperatingExp
ebidta
depreciationAndAmortization
pbit
otherItems
shareOfProfitLossOfJoinVentures
pbt
taxesAndOtherItems
netIncome
dilutedEPS
basicEPS
DPS
payoutRatio
